notebook,condition,top_k,count,token_f1,exact_match,context_precision,context_recall,faithfulness,answer_relevancy,token_f1_ir_only,diagnostic_note,kaggle_link
16-generate-router-wide-ablation.ipynb,dense_chunk160_top8_router,8.000000,50.000000,0.300611,0.100000,0.202500,0.493095,0.751505,0.540052,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=dense_chunk160_top8_router, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_first_line_postprocess,8.000000,50.000000,0.300611,0.100000,0.202500,0.493095,0.751505,0.540052,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_first_line_postprocess, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_strip_citations_postprocess,8.000000,50.000000,0.300611,0.100000,0.202500,0.493095,0.751505,0.540052,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_strip_citations_postprocess, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_yesno_normalized_postprocess,8.000000,50.000000,0.300611,0.100000,0.202500,0.493095,0.751505,0.540052,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_yesno_normalized_postprocess, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_definition_method_result_templates,8.000000,50.000000,0.293414,0.120000,0.202500,0.493095,0.748414,0.494931,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_definition_method_result_templates, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_question_type_plus_gold_style_hint,8.000000,50.000000,0.262674,0.080000,0.202500,0.493095,0.716695,0.530290,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_question_type_plus_gold_style_hint, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_short_with_unanswerable_guard,8.000000,50.000000,0.258836,0.060000,0.202500,0.493095,0.724137,0.519622,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_short_with_unanswerable_guard, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_strict_answer_only,8.000000,50.000000,0.242945,0.080000,0.202500,0.493095,0.718245,0.528605,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_strict_answer_only, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_freeform_one_sentence,8.000000,50.000000,0.230226,0.000000,0.202500,0.493095,0.793214,0.601411,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_freeform_one_sentence, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_two_step_extract_then_short_answer,8.000000,50.000000,0.225843,0.120000,0.202500,0.493095,0.652875,0.412995,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_two_step_extract_then_short_answer, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_extractive_phrase_only,8.000000,50.000000,0.197732,0.040000,0.202500,0.493095,0.785325,0.486716,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_extractive_phrase_only, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_yesno_calibrated,8.000000,50.000000,0.178329,0.060000,0.202500,0.493095,0.518198,0.326846,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_yesno_calibrated, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_evidence_then_answer,8.000000,50.000000,0.176500,0.000000,0.202500,0.493095,0.747395,0.563062,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_evidence_then_answer, avg context words=673.34.",
16-generate-router-wide-ablation.ipynb,router_quote_then_answer,8.000000,50.000000,0.151669,0.040000,0.202500,0.493095,0.546159,0.402859,,"Wide balanced batch from dense_chunk160_top8_router; family=generate, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=router_quote_then_answer, avg context words=673.34.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_top8_sentence_only_router,1.000000,50.000000,0.301834,0.120000,0.620000,0.412238,0.750438,0.483699,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=8.0, final_top_k=1.0, context_order=sentence_only, reranker=none, prompt_variant=sentence_only, avg context words=411.80.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_chunk160_top8_router,8.000000,50.000000,0.300611,0.100000,0.202500,0.493095,0.751505,0.540052,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=question_type_router, avg context words=673.34.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_top8_score_order_router,8.000000,50.000000,0.300611,0.100000,0.202500,0.493095,0.751505,0.540052,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=8.0, final_top_k=8.0, context_order=dense_score, reranker=none, prompt_variant=question_type_router, avg context words=673.34.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_top8_trim_to_800w_router,8.000000,50.000000,0.297235,0.100000,0.195000,0.493095,0.730785,0.521299,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=8.0, final_top_k=8.0, context_order=trim_to_800w, reranker=none, prompt_variant=trim_to_800w, avg context words=583.48.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_top8_section_order_router,8.000000,50.000000,0.291287,0.100000,0.202500,0.493095,0.775008,0.554840,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=8.0, final_top_k=8.0, context_order=section_order, reranker=none, prompt_variant=question_type_router, avg context words=673.34.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_top8_u_shape_order_router,8.000000,50.000000,0.282802,0.120000,0.202500,0.493095,0.760437,0.563105,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=8.0, final_top_k=8.0, context_order=u_shape, reranker=none, prompt_variant=question_type_router, avg context words=673.34.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_pool20_sentence_only_router,1.000000,50.000000,0.270439,0.100000,0.620000,0.429381,0.765694,0.516910,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=20.0, final_top_k=1.0, context_order=sentence_only, reranker=none, prompt_variant=sentence_only, avg context words=426.82.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_top8_top_sentences_per_chunk_router,8.000000,50.000000,0.258034,0.100000,0.175000,0.450238,0.723798,0.520390,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=8.0, final_top_k=8.0, context_order=top_sentences_per_chunk, reranker=none, prompt_variant=top_sentences_per_chunk, avg context words=374.42.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_top8_sentence_hints_plus_full_router,9.000000,50.000000,0.256292,0.060000,0.248889,0.503095,0.711992,0.612917,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=8.0, final_top_k=9.0, context_order=hints_first_full_after, reranker=none, prompt_variant=sentence_hints_plus_full, avg context words=1017.36.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_pool20_sentence_hints_plus_top8_router,9.000000,50.000000,0.245844,0.060000,0.244444,0.513095,0.706808,0.575403,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=20.0, final_top_k=9.0, context_order=pool_hints_first_top8_after, reranker=none, prompt_variant=sentence_hints_plus_full, avg context words=1111.40.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_top8_hints_first_chunks_after_router,9.000000,50.000000,0.241306,0.060000,0.244444,0.503095,0.701128,0.583877,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=8.0, final_top_k=9.0, context_order=hints_first_chunks_after, reranker=none, prompt_variant=hints_first_chunks_after, avg context words=950.80.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_pool30_sentence_hints_plus_top8_router,9.000000,50.000000,0.225662,0.060000,0.244444,0.517540,0.718398,0.567927,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=30.0, final_top_k=9.0, context_order=pool_hints_first_top8_after, reranker=none, prompt_variant=sentence_hints_plus_full, avg context words=1114.64.",
17-bridge-context-shaping-wide-ablation.ipynb,dense_top8_trim_to_500w_router,8.000000,50.000000,0.204838,0.080000,0.180000,0.439762,0.693778,0.472511,,"Wide balanced batch from dense_chunk160_top8_router; family=bridge, candidate_pool_k=8.0, final_top_k=8.0, context_order=trim_to_500w, reranker=none, prompt_variant=trim_to_500w, avg context words=430.62.",
18-adaptive-chunk-flexible-context-ablation.ipynb,small80_pool30_cross_expand160_budget800_router,8.940000,50.000000,0.319529,0.140000,0.220276,0.557063,0.766788,0.590067,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=small_chunk, expansion_policy=budget_pack, rerank_stage=before_expansion, candidate_pool_k=30.0, final_top_k=8.94, packing_budget_words=800.0, avg context words=770.06.",
18-adaptive-chunk-flexible-context-ablation.ipynb,dense_pool20_cross_top8_router,8.000000,50.000000,0.313624,0.120000,0.217500,0.509286,0.779247,0.585566,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=fixed_chunk, expansion_policy=none, rerank_stage=after_retrieval, candidate_pool_k=20.0, final_top_k=8.00, packing_budget_words=0.0, avg context words=686.92.",
18-adaptive-chunk-flexible-context-ablation.ipynb,small80_expand160_cross_after_top8_router,8.000000,50.000000,0.308545,0.100000,0.215000,0.497540,0.788957,0.578155,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=small_chunk, expansion_policy=parent_chunk, rerank_stage=after_expansion, candidate_pool_k=20.0, final_top_k=8.00, packing_budget_words=0.0, avg context words=737.04.",
18-adaptive-chunk-flexible-context-ablation.ipynb,paragraph_pool20_cross_top8_router,8.000000,50.000000,0.302266,0.100000,0.222500,0.522286,0.771682,0.583072,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=paragraph, expansion_policy=none, rerank_stage=after_retrieval, candidate_pool_k=20.0, final_top_k=8.00, packing_budget_words=0.0, avg context words=726.64.",
18-adaptive-chunk-flexible-context-ablation.ipynb,small80_cross_expand160_cross_top8_router,8.000000,50.000000,0.295170,0.100000,0.217500,0.497540,0.785201,0.579453,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=small_chunk, expansion_policy=parent_chunk, rerank_stage=before_and_after, candidate_pool_k=20.0, final_top_k=8.00, packing_budget_words=0.0, avg context words=731.74.",
18-adaptive-chunk-flexible-context-ablation.ipynb,paragraph_pool30_cross_top8_router,8.000000,50.000000,0.291915,0.100000,0.220000,0.528730,0.775597,0.566660,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=paragraph, expansion_policy=none, rerank_stage=after_retrieval, candidate_pool_k=30.0, final_top_k=8.00, packing_budget_words=0.0, avg context words=718.40.",
18-adaptive-chunk-flexible-context-ablation.ipynb,small80_cross_before_expand160_top8_router,7.220000,50.000000,0.289065,0.100000,0.229167,0.497540,0.760494,0.502220,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=small_chunk, expansion_policy=parent_chunk, rerank_stage=before_expansion, candidate_pool_k=20.0, final_top_k=7.22, packing_budget_words=0.0, avg context words=657.94.",
18-adaptive-chunk-flexible-context-ablation.ipynb,small80_pool20_cross_expand160_top8_router,7.220000,50.000000,0.289065,0.100000,0.229167,0.497540,0.760494,0.502220,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=small_chunk, expansion_policy=parent_chunk, rerank_stage=before_expansion, candidate_pool_k=20.0, final_top_k=7.22, packing_budget_words=0.0, avg context words=657.94.",
18-adaptive-chunk-flexible-context-ablation.ipynb,small80_pool20_cross_expand240_top8_router,7.080000,50.000000,0.287267,0.100000,0.225738,0.497540,0.789974,0.540090,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=small_chunk, expansion_policy=parent_chunk, rerank_stage=before_expansion, candidate_pool_k=20.0, final_top_k=7.08, packing_budget_words=0.0, avg context words=656.34.",
18-adaptive-chunk-flexible-context-ablation.ipynb,small80_pool30_cross_expand160_budget600_router,6.920000,50.000000,0.282787,0.100000,0.220476,0.478397,0.750306,0.511250,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=small_chunk, expansion_policy=budget_pack, rerank_stage=before_expansion, candidate_pool_k=30.0, final_top_k=6.92, packing_budget_words=600.0, avg context words=578.90.",
18-adaptive-chunk-flexible-context-ablation.ipynb,sentence_pool30_cross_window_pm1_top8_router,7.920000,50.000000,0.277149,0.120000,0.212143,0.495286,0.743074,0.493873,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=sentence, expansion_policy=sentence_window, rerank_stage=before_expansion, candidate_pool_k=30.0, final_top_k=7.92, packing_budget_words=0.0, avg context words=444.76.",
18-adaptive-chunk-flexible-context-ablation.ipynb,sentence_pool30_cross_window_pm2_top8_router,7.720000,50.000000,0.273784,0.100000,0.244286,0.514730,0.777730,0.475968,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=sentence, expansion_policy=sentence_window, rerank_stage=before_expansion, candidate_pool_k=30.0, final_top_k=7.72, packing_budget_words=0.0, avg context words=583.48.",
18-adaptive-chunk-flexible-context-ablation.ipynb,small80_pool30_cross_expand160_top8_router,7.220000,50.000000,0.266864,0.080000,0.240357,0.523730,0.766960,0.509541,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=small_chunk, expansion_policy=parent_chunk, rerank_stage=before_expansion, candidate_pool_k=30.0, final_top_k=7.22, packing_budget_words=0.0, avg context words=661.12.",
18-adaptive-chunk-flexible-context-ablation.ipynb,sentence_pool50_cross_window_pm2_budget700_router,9.420000,50.000000,0.266798,0.120000,0.223383,0.539397,0.765180,0.502485,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=sentence, expansion_policy=budget_pack, rerank_stage=before_expansion, candidate_pool_k=50.0, final_top_k=9.42, packing_budget_words=700.0, avg context words=675.78.",
18-adaptive-chunk-flexible-context-ablation.ipynb,sentence_pool50_cross_window_paragraph_top8_router,6.820000,50.000000,0.245482,0.100000,0.236238,0.521397,0.767939,0.490374,,"Adaptive flexible context batch from dense_pool20_cross_top8_router; retrieval_unit=sentence, expansion_policy=paragraph_window, rerank_stage=before_expansion, candidate_pool_k=50.0, final_top_k=6.82, packing_budget_words=0.0, avg context words=648.36.",
